Time (CET/CEST);NO2-NO1;NO2_hydro_river;NO2_hydro_storage;NO1_actual_load
12.01.2022 17:00 - 12.01.2022 18:00;1176;837;6382;5642
12.01.2022 18:00 - 12.01.2022 19:00;1081;829;5885;5529
12.01.2022 19:00 - 12.01.2022 20:00;676;811;4883;5462
12.01.2022 20:00 - 12.01.2022 21:00;711;816;4577;5336
12.01.2022 21:00 - 12.01.2022 22:00;735;817;4360;5189
12.01.2022 22:00 - 12.01.2022 23:00;583;823;3918;4988
12.01.2022 23:00 - 13.01.2022 00:00;467;828;3630;4734
13.01.2022 00:00 - 13.01.2022 01:00;213;823;3504;4513
13.01.2022 01:00 - 13.01.2022 02:00;92;830;3280;4365
13.01.2022 02:00 - 13.01.2022 03:00;8;827;3126;4274
13.01.2022 03:00 - 13.01.2022 04:00;-31;821;3104;4250
13.01.2022 04:00 - 13.01.2022 05:00;-25;816;3101;4251
13.01.2022 05:00 - 13.01.2022 06:00;341;808;3397;4416
13.01.2022 06:00 - 13.01.2022 07:00;874;827;3922;4814
13.01.2022 07:00 - 13.01.2022 08:00;1301;827;4668;5386
13.01.2022 08:00 - 13.01.2022 09:00;1333;822;4784;5601
13.01.2022 09:00 - 13.01.2022 10:00;1358;829;4748;5534
13.01.2022 10:00 - 13.01.2022 11:00;1310;828;4773;5453
13.01.2022 11:00 - 13.01.2022 12:00;1166;825;4699;5349
13.01.2022 12:00 - 13.01.2022 13:00;1054;814;4481;5218
13.01.2022 13:00 - 13.01.2022 14:00;1048;813;4429;5177
13.01.2022 14:00 - 13.01.2022 15:00;972;806;4354;5148
13.01.2022 15:00 - 13.01.2022 16:00;1171;801;4643;5186
13.01.2022 16:00 - 13.01.2022 17:00;1141;806;4637;5336
13.01.2022 17:00 - 13.01.2022 18:00;1196;814;4548;5331
13.01.2022 18:00 - 13.01.2022 19:00;1046;819;4221;5228
13.01.2022 19:00 - 13.01.2022 20:00;1042;827;4131;5036
13.01.2022 20:00 - 13.01.2022 21:00;838;830;3852;4884
13.01.2022 21:00 - 13.01.2022 22:00;610;839;3766;4729
13.01.2022 22:00 - 13.01.2022 23:00;217;835;3192;4553
13.01.2022 23:00 - 14.01.2022 00:00;84;840;3004;4332
14.01.2022 00:00 - 14.01.2022 01:00;21;845;2745;4045
14.01.2022 01:00 - 14.01.2022 02:00;-191;847;2506;3914
14.01.2022 02:00 - 14.01.2022 03:00;-182;858;2455;3886
14.01.2022 03:00 - 14.01.2022 04:00;-113;865;2416;3926
14.01.2022 04:00 - 14.01.2022 05:00;-101;865;2554;3957
14.01.2022 05:00 - 14.01.2022 06:00;147;864;2939;4158
14.01.2022 06:00 - 14.01.2022 07:00;755;875;3678;4621
14.01.2022 07:00 - 14.01.2022 08:00;1315;872;4476;5196
14.01.2022 08:00 - 14.01.2022 09:00;1397;876;4753;5427
14.01.2022 09:00 - 14.01.2022 10:00;1272;875;4648;5415
14.01.2022 10:00 - 14.01.2022 11:00;1274;873;4683;5390
14.01.2022 11:00 - 14.01.2022 12:00;1095;875;4501;5298
14.01.2022 12:00 - 14.01.2022 13:00;945;869;4348;5178
14.01.2022 13:00 - 14.01.2022 14:00;826;877;4297;5119
14.01.2022 14:00 - 14.01.2022 15:00;768;872;4705;5120
14.01.2022 15:00 - 14.01.2022 16:00;641;869;5159;5267
14.01.2022 16:00 - 14.01.2022 17:00;800;867;5792;5455
14.01.2022 17:00 - 14.01.2022 18:00;1043;866;6283;5475
14.01.2022 18:00 - 14.01.2022 19:00;729;864;6078;5454
14.01.2022 19:00 - 14.01.2022 20:00;443;863;6132;5318
14.01.2022 20:00 - 14.01.2022 21:00;242;862;5995;5145
14.01.2022 21:00 - 14.01.2022 22:00;111;857;6296;5031
14.01.2022 22:00 - 14.01.2022 23:00;-375;847;6209;4909
14.01.2022 23:00 - 15.01.2022 00:00;-615;853;6211;4743
15.01.2022 00:00 - 15.01.2022 01:00;-495;864;6290;4594
15.01.2022 01:00 - 15.01.2022 02:00;-608;863;6053;4527
15.01.2022 02:00 - 15.01.2022 03:00;-559;861;5975;4419
15.01.2022 03:00 - 15.01.2022 04:00;-541;854;5820;4382
15.01.2022 04:00 - 15.01.2022 05:00;-692;852;5867;4385
15.01.2022 05:00 - 15.01.2022 06:00;-673;848;6158;4412
15.01.2022 06:00 - 15.01.2022 07:00;-719;849;6441;4543
15.01.2022 07:00 - 15.01.2022 08:00;-414;850;6947;4708
15.01.2022 08:00 - 15.01.2022 09:00;287;849;7815;4937
